#catalogue_i     catalogue_j     ell_i   ell_j  s_i     s_j      Cov^-1_ij
post-recon post-recon 0 0 1.125000e+02 7.750000e+01 -6.054280e+04
post-recon post-recon 0 0 1.125000e+02 8.250000e+01 6.588260e+04
post-recon post-recon 0 0 1.125000e+02 8.750000e+01 9.364015e+04
post-recon post-recon 0 0 1.125000e+02 9.250000e+01 -7.704845e+04
post-recon post-recon 0 0 1.125000e+02 9.750000e+01 -2.515255e+05
post-recon post-recon 0 0 1.125000e+02 1.025000e+02 -2.108201e+05
post-recon post-recon 0 0 1.125000e+02 1.075000e+02 -7.270071e+05
post-recon post-recon 0 0 1.125000e+02 1.125000e+02 2.618060e+06
post-recon post-recon 0 0 1.125000e+02 1.175000e+02 -6.748357e+05
post-recon post-recon 0 0 1.125000e+02 1.225000e+02 -2.663220e+05
post-recon post-recon 0 0 1.125000e+02 1.275000e+02 -1.754636e+05
post-recon post-recon 0 0 1.125000e+02 1.325000e+02 5.569271e+04
post-recon post-recon 0 0 1.125000e+02 1.375000e+02 3.618875e+04
post-recon post-recon 0 0 1.125000e+02 1.425000e+02 -7.698672e+04
post-recon post-recon 0 0 1.125000e+02 1.475000e+02 -4.082280e+04
post-recon post-recon 0 0 1.175000e+02 5.250000e+01 4.009207e+04
post-recon post-recon 0 0 1.175000e+02 5.750000e+01 -3.683069e+04
post-recon post-recon 0 0 1.175000e+02 6.250000e+01 -4.600041e+03
post-recon post-recon 0 0 1.175000e+02 6.750000e+01 -2.712626e+03
post-recon post-recon 0 0 1.175000e+02 7.250000e+01 -1.102900e+04
post-recon post-recon 0 0 1.175000e+02 7.750000e+01 7.389127e+04
post-recon post-recon 0 0 1.175000e+02 8.250000e+01 -3.510230e+04
post-recon post-recon 0 0 1.175000e+02 8.750000e+01 -2.250544e+04
post-recon post-recon 0 0 1.175000e+02 9.250000e+01 2.226235e+04
post-recon post-recon 0 0 1.175000e+02 9.750000e+01 7.404491e+04
post-recon post-recon 0 0 1.175000e+02 1.025000e+02 -1.818863e+05
post-recon post-recon 0 0 1.175000e+02 1.075000e+02 -2.684994e+05
post-recon post-recon 0 0 1.175000e+02 1.125000e+02 -6.748357e+05
post-recon post-recon 0 0 1.175000e+02 1.175000e+02 2.728738e+06
post-recon post-recon 0 0 1.175000e+02 1.225000e+02 -7.330946e+05
post-recon post-recon 0 0 1.175000e+02 1.275000e+02 -2.376520e+05
post-recon post-recon 0 0 1.175000e+02 1.325000e+02 -2.615049e+05
post-recon post-recon 0 0 1.175000e+02 1.375000e+02 -1.127120e+05
post-recon post-recon 0 0 1.175000e+02 1.425000e+02 6.992880e+04
post-recon post-recon 0 0 1.175000e+02 1.475000e+02 -1.215040e+04
post-recon post-recon 0 0 1.225000e+02 5.250000e+01 -1.598113e+04
post-recon post-recon 0 0 1.225000e+02 5.750000e+01 9.837632e+04
post-recon post-recon 0 0 1.225000e+02 6.250000e+01 1.017047e+03
post-recon post-recon 0 0 1.225000e+02 6.750000e+01 -8.563313e+04
post-recon post-recon 0 0 1.225000e+02 7.250000e+01 7.731570e+04
post-recon post-recon 0 0 1.225000e+02 7.750000e+01 3.170128e+04
post-recon post-recon 0 0 1.225000e+02 8.250000e+01 6.030072e+04
post-recon post-recon 0 0 1.225000e+02 8.750000e+01 -7.810706e+04
post-recon post-recon 0 0 1.225000e+02 9.250000e+01 -4.655890e+04
post-recon post-recon 0 0 1.225000e+02 9.750000e+01 -4.321003e+04
post-recon post-recon 0 0 1.225000e+02 1.025000e+02 -8.052142e+04
post-recon post-recon 0 0 1.225000e+02 1.075000e+02 -5.952683e+04
post-recon post-recon 0 0 1.225000e+02 1.125000e+02 -2.663220e+05
post-recon post-recon 0 0 1.225000e+02 1.175000e+02 -7.330946e+05
post-recon post-recon 0 0 1.225000e+02 1.225000e+02 2.824811e+06
post-recon post-recon 0 0 1.225000e+02 1.275000e+02 -7.746888e+05
post-recon post-recon 0 0 1.225000e+02 1.325000e+02 -1.400727e+05
post-recon post-recon 0 0 1.225000e+02 1.375000e+02 -1.475344e+05
post-recon post-recon 0 0 1.225000e+02 1.425000e+02 -7.269997e+04
post-recon post-recon 0 0 1.225000e+02 1.475000e+02 -1.455159e+05
post-recon post-recon 0 0 1.275000e+02 5.250000e+01 2.320052e+04
post-recon post-recon 0 0 1.275000e+02 5.750000e+01 1.520286e+04
post-recon post-recon 0 0 1.275000e+02 6.250000e+01 -4.629732e+04
post-recon post-recon 0 0 1.275000e+02 6.750000e+01 -3.966217e+03
post-recon post-recon 0 0 1.275000e+02 7.250000e+01 6.348446e+04
post-recon post-recon 0 0 1.275000e+02 7.750000e+01 -4.753660e+04
post-recon post-recon 0 0 1.275000e+02 8.250000e+01 -2.606208e+04
post-recon post-recon 0 0 1.275000e+02 8.750000e+01 -1.061797e+05
post-recon post-recon 0 0 1.275000e+02 9.250000e+01 8.422042e+04
post-recon post-recon 0 0 1.275000e+02 9.750000e+01 -7.492981e+04
post-recon post-recon 0 0 1.275000e+02 1.025000e+02 -8.371037e+04
post-recon post-recon 0 0 1.275000e+02 1.075000e+02 -3.868231e+04
post-recon post-recon 0 0 1.275000e+02 1.125000e+02 -1.754636e+05
post-recon post-recon 0 0 1.275000e+02 1.175000e+02 -2.376520e+05
post-recon post-recon 0 0 1.275000e+02 1.225000e+02 -7.746888e+05
post-recon post-recon 0 0 1.275000e+02 1.275000e+02 3.112522e+06
post-recon post-recon 0 0 1.275000e+02 1.325000e+02 -8.224984e+05
post-recon post-recon 0 0 1.275000e+02 1.375000e+02 -3.894543e+05
post-recon post-recon 0 0 1.275000e+02 1.425000e+02 -1.194065e+05
post-recon post-recon 0 0 1.275000e+02 1.475000e+02 -1.686018e+05
